bin_index,bin_left,bin_right,bin_center,pairs_1_98_normalized,pnimit_normalized,pairs_1_98_count,pnimit_count
103,102.59765625,103.59375,103.095703125,0.0046470105783198695,0.0048041424215021005,537220.0,306378.0
104,103.59375,104.58984375,104.091796875,0.004682562518822634,0.004827506279899369,541330.0,307868.0
105,104.58984375,105.5859375,105.087890625,0.004721150646944976,0.004860874260214393,545791.0,309996.0
106,105.5859375,106.58203125,106.083984375,0.004756503634982639,0.0048666446628252615,549878.0,310364.0
107,106.58203125,107.578125,107.080078125,0.004802556805599844,0.0049157244459014015,555202.0,313494.0
108,107.578125,108.57421875,108.076171875,0.004843627514482356,0.004954016084965917,559950.0,315936.0
109,108.57421875,109.5703125,109.072265625,0.004877449433549462,0.004979779050970421,563860.0,317579.0
110,109.5703125,110.56640625,110.068359375,0.0049086244198200115,0.005008646744466642,567464.0,319420.0
111,110.56640625,111.5625,111.064453125,0.004998230880079896,0.0050573031556120935,577823.0,322523.0
112,111.5625,112.55859375,112.060546875,0.0050465157783491,0.005135956252068937,583405.0,327539.0
113,112.55859375,113.5546875,113.056640625,0.005075649339325574,0.005185741655029557,586773.0,330714.0
114,113.5546875,114.55078125,114.052734375,0.005098061767024518,0.005247318750281954,589364.0,334641.0
115,114.55078125,115.546875,115.048828125,0.005134348966637436,0.00527123142414493,593559.0,336166.0
116,115.546875,116.54296875,116.044921875,0.005166769568341659,0.005341903175686195,597307.0,340673.0
117,116.54296875,117.5390625,117.041015625,0.005220919239277743,0.00536059426240401,603567.0,341865.0
118,117.5390625,118.53515625,118.037109375,0.005266816707965739,0.0053684972051101995,608873.0,342369.0
119,118.53515625,119.53125,119.033203125,0.005397969633002941,0.005382374396171664,624035.0,343254.0
120,119.53125,120.52734375,120.029296875,0.0053299019396169925,0.005414879952183434,616166.0,345327.0
121,120.52734375,121.5234375,121.025390625,0.005370306590246776,0.005441677827351843,620837.0,347036.0
122,121.5234375,122.51953125,122.021484375,0.005412839167242418,0.005502094569905315,625754.0,350889.0
123,122.51953125,123.515625,123.017578125,0.005439524747887436,0.005569018695837892,628839.0,355157.0
124,123.515625,124.51171875,124.013671875,0.005489435866306158,0.005555768722451521,634609.0,354312.0
125,124.51171875,125.5078125,125.009765625,0.005512280799364016,0.005584024878714526,637250.0,356114.0
126,125.5078125,126.50390625,126.005859375,0.0055340531191317675,0.005612814170001361,639767.0,357950.0
127,126.50390625,127.5,127.001953125,0.0055691725542756166,0.005605773651598426,643827.0,357501.0
128,127.5,128.49609375,127.998046875,0.005625017646218644,0.0056230378181054,650283.0,358602.0
129,128.49609375,129.4921875,128.994140625,0.005716380078235722,0.005660561115517925,660845.0,360995.0
130,129.4921875,130.48828125,129.990234375,0.0057433770627391585,0.0057083707828019985,663966.0,364044.0
